balls_remaining,runs_needed,wickets_left,rrr,target_score,pressure
36,121,4,20.166666666666668,231,10.0
52,51,6,5.884615384615384,187,5.076577109050962
57,45,6,4.7368421052631575,186,4.861247317890824
15,18,2,7.199999999999999,194,8.013795331385714
63,124,5,11.809523809523808,167,6.948276165873277
88,99,7,6.75,125,3.333900487061665
77,74,5,5.766233766233766,126,4.8508131756492645
36,41,3,6.833333333333333,121,7.881714495916355
73,100,8,8.21917808219178,148,4.605719224568665
50,96,6,11.52,151,6.166622854552568
8,64,1,48.0,185,10.0
75,160,8,12.8,204,5.639091127913536
75,79,5,6.319999999999999,131,5.612577571730463
16,67,1,25.125,171,10.0
60,61,3,6.1,159,7.220928355034199
51,24,4,2.8235294117647056,135,5.799693695068007
63,107,7,10.19047619047619,225,6.367019323112841
68,85,6,7.5,234,5.547887633516854
10,63,2,37.8,142,10.0
58,89,5,9.206896551724139,178,6.716355111937012
103,188,9,10.951456310679612,204,4.920472401145497
20,80,3,24.0,137,10.0
3,6,1,12.0,134,10.0
117,189,9,9.692307692307693,195,3.7394235690430633
100,131,8,7.86,155,3.6094887215954645
40,36,4,5.4,235,6.660858596876629
19,96,3,30.31578947368421,181,10.0
7,6,2,5.142857142857142,189,8.201908099904365
79,168,4,12.759493670886075,227,7.294131270264779
76,121,7,9.552631578947368,236,5.5492781476998765
17,1,1,0.3529411764705882,149,6.988191387102316
31,1,2,0.1935483870967742,208,5.746575630070504
76,131,7,10.342105263157894,234,6.674712017035839
87,169,7,11.655172413793103,210,5.654389744200668
100,199,10,11.94,221,3.5732528114183766
49,121,5,14.816326530612244,176,8.886924888841813
92,108,6,7.043478260869566,146,4.624044533701716
9,1,1,0.6666666666666666,123,7.993719989539448
71,130,8,10.985915492957746,236,5.423152462507111
47,35,4,4.468085106382978,189,5.9175684713739445
73,117,7,9.616438356164384,233,5.591628592477992
89,131,9,8.831460674157304,166,4.37610099405288
14,1,1,0.42857142857142855,231,7.390805957428254
49,131,7,16.040816326530614,200,8.039798779912173
6,40,2,40.0,230,10.0
109,201,9,11.064220183486238,226,4.149469879604006
80,71,4,5.324999999999999,127,4.79694409797897
17,1,2,0.3529411764705882,164,6.037450800361611
35,15,2,2.571428571428571,126,7.126175825140082
23,21,2,5.478260869565217,213,7.632673981756325
8,1,2,0.75,143,6.8923903392831765
22,94,3,25.636363636363633,239,10.0
36,1,4,0.16666666666666666,155,4.846991228400452
32,79,4,14.8125,140,9.3768942971674
21,12,3,3.4285714285714284,127,7.469858754624107
11,18,2,9.818181818181818,181,8.923394878538565
99,160,10,9.696969696969697,180,3.5256579802952066
80,135,6,10.125,181,6.064990400323844
97,193,7,11.938144329896907,235,5.674461953394747
7,1,1,0.8571428571428571,200,7.378110298498615
66,96,6,8.727272727272727,225,5.4019473762271355
2,79,1,237.0,220,10.0
85,97,9,6.847058823529411,161,3.7972602836289022
85,146,8,10.305882352941175,174,4.625226962094949
